Pros_No,married,own_home,household_size,income,age,zip_code
212,0,1,4,65,33,21048
213,1,1,2,85,77,8816
214,0,1,1,35,56,22201
215,0,1,2,175,45,22015
216,1,1,2,175,53,21228
217,1,0,1,55,36,20816
218,1,1,3,175,54,19096
219,1,1,1,45,65,22042
220,1,1,3,35,50,22554
221,1,1,4,35,76,19046
222,1,1,5,35,77,19002
223,1,0,2,45,85,21030
224,1,0,1,50,66,8691
225,1,1,1,35,40,20147
226,1,1,2,175,66,21054
227,1,1,1,115,51,21244
228,0,1,3,75,49,20770
229,1,1,4,35,50,23229
230,0,1,4,60,52,18901
231,1,1,3,175,44,21108
232,0,1,3,175,37,20816
233,1,1,4,35,58,18966
234,0,1,2,35,47,21090
235,0,1,4,95,77,8035
236,1,0,2,35,54,22152
237,0,1,3,35,45,22101
238,0,1,3,110,62,8003
239,0,1,6,45,42,19128
240,1,1,2,75,72,19067
241,1,1,5,35,44,20854
242,1,1,2,80,58,20850
243,1,1,3,70,42,8753
244,1,1,2,80,64,8648
245,0,1,4,35,51,8648
246,1,1,3,170,62,22207
247,1,1,6,35,40,22015
248,1,1,2,35,59,8753
249,1,1,3,35,39,8619
250,1,1,2,35,56,20170
251,1,1,2,35,59,21012
252,1,1,2,40,67,22207
253,0,1,2,35,44,21042
254,1,1,4,175,62,21093
255,1,1,8,45,65,21207
256,1,1,2,35,79,20895
257,1,1,3,35,75,20902
258,1,1,2,35,48,20170
259,1,1,3,165,62,19087
260,1,1,4,35,67,21208
261,0,1,2,60,49,20876
262,1,1,3,110,53,21093
263,0,1,1,155,39,8055
264,1,0,5,35,43,22601
265,1,1,4,35,46,8742
266,0,1,8,35,55,8244
267,1,1,2,35,60,21230
268,0,1,1,55,63,20814
269,1,1,5,45,61,20783
270,1,0,2,60,69,20815
271,0,1,2,45,47,19038
272,1,1,1,35,57,8028
273,1,1,4,35,58,8028
274,1,1,3,35,48,20015
275,1,0,4,35,47,8071
276,1,1,3,35,58,21144
277,1,1,4,175,53,8057
278,0,1,3,175,44,18966
279,1,1,5,35,52,8742
280,0,1,3,35,72,21037
281,1,0,1,35,33,20878
282,0,0,1,35,38,22309
283,1,1,1,100,47,8053
284,1,1,3,175,55,21163
285,0,1,2,150,62,23229
286,1,1,2,35,47,20187
287,0,1,1,35,86,8088
288,1,1,2,75,69,22312
289,0,1,3,70,51,21218
290,1,1,4,160,59,19067
291,1,1,2,40,77,8540
292,1,1,2,90,63,23113
293,1,1,2,60,42,21030
294,0,0,1,50,74,20912
